Symbol,Quarter,Total_Revenue,Net_Income,Basic_EPS
AAF.N0000,Q4,1750000000.0,65989999.99999999,0.53
AAIC.N0000,Q4,7080000000.0,501640000.0,1.34
ABAN.N0000,Q4,,,5.5
ABL.N0000,Q4,4910000000.0,220670000.0,0.74
ACAP.N0000,Q4,438570000.0,189740000.0,1.44
ACL.N0000,Q4,6800000000.0,782700000.0,3.27
ACME.N0000,Q4,234240000.0,48840000.0,0.61
AEL.N0000,Q4,5560000000.0,1930000000.0,1.93
AFSL.N0000,Q4,806340000.0,145320000.0,1.97
AGAL.N0000,Q4,1490000000.0,417210000.0,2.67
AGST.N0000,Q4,1230000000.0,144720000.0,0.3
AHPL.N0000,Q4,2550000000.0,85710000.0,0.19
AHUN.N0000,Q4,14960000000.0,1450000000.0,4.32
ALLI.N0000,Q4,3180000000.0,281560000.0,8.36
ALUM.N0000,Q4,2610000000.0,134220000.0,0.22
AMF.N0000,Q4,1090000000.0,58260000.0,0.51
AMSL.N0000,Q4,1550000000.0,34250000.0,0.06
APLA.N0000,Q4,574280000.0,41630000.0,9.88
ASCO.N0000,Q4,232360000.0,134710000.0,0.64
ASHO.N0000,Q4,633610000.0,53990000.0,14.91
ASIR.N0000,Q4,6640000000.0,397200000.0,0.35
ASIY.N0000,Q4,360770000.0,65769999.99999999,0.25
ASPH.N0000,Q4,11290000.0,8940000.0,0.0
ATL.N0000,Q4,2089999999.9999998,13300000.0,0.07
AUTO.N0000,Q4,61160000.0,21900000.0,1.82
BALA.N0000,Q4,1400000000.0,84930000.0,3.59
BBH.N0000,Q4,149900000.0,227850000.0,1.76
BERU.N0000,Q4,98300000.0,30330000.0,0.05
BFL.N0000,Q4,2880000000.0,28110000.0,1.76
BFN.N0000,Q4,1050000000.0,17360000.0,0.08
BIL.N0000,Q4,12330000000.0,4460000000.0,0.31
BOGA.N0000,Q4,369290000.0,81120000.0,0.86
BOPL.N0000,Q4,1620000000.0,389160000.0,4.65
BPPL.N0000,Q4,1510000000.0,30720000.0,0.1
BREW.N0000,Q4,25240000000.0,659750000.0,31.43
BRR.N0000,Q4,41290000.0,21390000.0,0.4
BRWN.N0000,Q4,18510000000.0,720620000.0,3.39
BUKI.N0000,Q4,76260000000.0,2300000000.0,22.51
CABO.N0000,Q4,68190000.0,41820000.0,2.32
CALF.N0000,Q4,356420000.0,28780000.0,0.25
CALT.N0000,Q4,3970000000.0,1250000000.0,3.78
CARE.N0000,Q4,3890000000.0,4139999.9999999995,0.05
CARG.N0000,Q4,48560000000.0,1810000000.0,7.01
CARS.N0000,Q4,76260000000.0,1560000000.0,7.92
CBNK.N0000,Q4,3170000000.0,106470000.0,0.12
CCS.N0000,Q4,32180000000.0,1470000000.0,1.55
CDB.N0000,Q4,5980000000.0,336660000.0,4.82
CDB.X0000,Q4,5980000000.0,336660000.0,4.82
CERA.N0000,Q4,,13570000.0,2.26
CFI.N0000,Q4,9930000.0,20970000.0,2.39
CFIN.N0000,Q4,5240000000.0,1980000000.0,8.71
CFLB.N0000,Q4,19220000000.0,487310000.0,2.03
CFVF.N0000,Q4,4460000000.0,753320000.0,1.86
CHL.N0000,Q4,2150000000.0,45060000.0,1.24
CHL.X0000,Q4,2150000000.0,45060000.0,1.23
CHMX.N0000,Q4,234970000.0,6750000.0,0.43
CHOT.N0000,Q4,308350000.0,186840000.0,1.04
CIC.N0000,Q4,15680000000.0,1250000000.0,3.29
CIC.X0000,Q4,15680000000.0,1250000000.0,3.29
CIND.N0000,Q4,1040000000.0,129560000.0,5.35
CINS.N0000,Q4,18850000000.0,1920000000.0,72.8
CINS.X0000,Q4,18850000000.0,1920000000.0,72.8
CINV.N0000,Q4,409990000.0,593560000.0,5.92
CITH.N0000,Q4,438500000.0,363600000.0,1.18
CITW.N0000,Q4,254750000.0,155340000.0,0.25
CLND.N0000,Q4,89040000.0,49960000.0,0.25
COCO.N0000,Q4,3770000000.0,238460000.0,1.72
COCO.X0000,Q4,3770000000.0,238460000.0,1.68
COCR.N0000,Q4,8790000000.0,1070000000.0000001,3.37
COLO.N0000,Q4,80530000.0,226930000.0,14.93
COMB.N0000,Q4,83080000000.0,4219999999.9999995,3.05
COMB.X0000,Q4,83080000000.0,4219999999.9999995,3.04
COMD.N0000,Q4,166370000.0,50000000.0,4.17
CONN.N0000,Q4,545300000.0,164780000.0,1.53
COOP.N0000,Q4,1850000000.0,92180000.0,0.06
CRL.N0000,Q4,1120000000.0,731250000.0,1.2
CSD.N0000,Q4,104590000.0,34500000.0,0.23
CSF.N0000,Q4,389840000.0,77930000.0,0.03
CTBL.N0000,Q4,,,
CTC.N0000,Q4,12060000000.0,6360000000.0,33.95
CTEA.N0000,Q4,6010000000.0,862150000.0,41.57
CTLD.N0000,Q4,126760000.0,25870000.0,0.32
CWL.N0000,Q4,79760000.0,5320000.0,0.18
CWM.N0000,Q4,5210000000.0,101940000.0,2.83
DFCC.N0000,Q4,24180000000.0,1730000000.0,3.99
DIAL.N0000,Q4,50950000000.0,8289999999.999999,1.01
DIMO.N0000,Q4,8550000000.000001,195030000.0,21.13
DIPD.N0000,Q4,19590000000.0,827420000.0,1.38
DIST.N0000,Q4,14790000000.0,5460000000.0,1.19
DOCK.N0000,Q4,9840000000.0,323590000.0,4.5
DPL.N0000,Q4,1450000000.0,12270000.0,0.08
EAST.N0000,Q4,32689999.999999996,11290000.0,0.08
EBCR.N0000,Q4,5780000000.0,260550000.0,1.03
ECL.N0000,Q4,70550000.0,19220000.0,0.16
EDEN.N0000,Q4,1020000000.0,222320000.0,0.33
ELPL.N0000,Q4,2020000000.0,56330000.0,0.77
EMER.N0000,Q4,692350000.0,10240000.0,0.09
FCT.N0000,Q4,3360000000.0,802660000.0,1.3
GEST.N0000,Q4,288520000.0,30530000.0,11.49
GHLL.N0000,Q4,386640000.0,70510000.0,0.14
GLAS.N0000,Q4,5380000000.0,905590000.0,0.95
GRAN.N0000,Q4,4219999999.9999995,374120000.0,6.24
GREG.N0000,Q4,6910000000.0,172980000.0,0.48
GUAR.N0000,Q4,1380000000.0,998960000.0,11.31
HAPU.N0000,Q4,1190000000.0,332530000.0,7.18
HASU.N0000,Q4,5910000000.0,202160000.0,1.35
HAYC.N0000,Q4,12850000000.0,820850000.0,2.76
HAYL.N0000,Q4,117380000000.0,1800000000.0,2.4
HBS.N0000,Q4,390170000.0,99430000.0,0.36
HDFC.N0000,Q4,2880000000.0,76110000.0,1.18
HELA.N0000,Q4,20820000000.0,2610000000.0,1.98
HEXP.N0000,Q4,943890000.0,134810000.0,5.62
HHL.N0000,Q4,32210000000.0,1060000000.0,1.77
HNB.N0000,Q4,84490000000.0,7090000000.0,12.96
HNB.X0000,Q4,84490000000.0,7090000000.0,12.92
HNBF.N0000,Q4,3920000000.0,89940000.0,0.08
HNBF.X0000,Q4,3920000000.0,89940000.0,0.08
HOPL.N0000,Q4,922670000.0,60520000.0,2.42
HPFL.N0000,Q4,14350000.0,17050000.0,0.16
HPL.N0000,Q4,2340000000.0,628480000.0,2.66
HPWR.N0000,Q4,185840000.0,17420000.0,0.2
HSIG.N0000,Q4,59470000.0,2650000.0,0.15
HUNA.N0000,Q4,48630000.0,86550000.0,0.1
HVA.N0000,Q4,830940000.0,43620000.0,0.33
JAT.N0000,Q4,3220000000.0,314990000.0,0.62
JETS.N0000,Q4,643670000.0,413340000.0,0.69
JINS.N0000,Q4,1420000000.0,442550000.0,1.95
JKH.N0000,Q4,67819999999.99999,3310000000.0,0.24
JKL.N0000,Q4,268120000.0,121780000.0,2.0
KAHA.N0000,Q4,1590000000.0,130560000.0,1.31
KCAB.N0000,Q4,2790000000.0,719730000.0,33.02
KFP.N0000,Q4,1290000000.0,86290000.0,3.38
KGAL.N0000,Q4,1170000000.0,330830000.0,13.23
KHC.N0000,Q4,84020000.0,30490000.0,0.05
KHL.N0000,Q4,8790000000.0,705290000.0,0.48
KOTA.N0000,Q4,1590000000.0,248480000.0,0.73
KVAL.N0000,Q4,4760000000.0,362750000.0,5.33
KZOO.N0000,Q4,24040000.0,48280000.0,0.26
LALU.N0000,Q4,532919999.99999994,3130000.0,0.05
LCBF.N0000,Q4,307390000.0,47590000.0,0.06
LCEY.N0000,Q4,8550000000.000001,153330000.0,2.98
LDEV.N0000,Q4,2150000000.0,361920000.0,2.84
LFIN.N0000,Q4,11690000000.0,2720000000.0,4.9
LGIL.N0000,Q4,2470000000.0,68470000.0,0.06
LGL.N0000,Q4,6630000000.0,155350000.0,0.4
LGL.X0000,Q4,6630000000.0,155350000.0,0.4
LHCL.N0000,Q4,2960000000.0,60760000.0,0.27
LHL.N0000,Q4,248700000.0,4200000.0,0.09
LIOC.N0000,Q4,68720000000.0,7180000000.0,13.48
LION.N0000,Q4,24860000000.0,1090000000.0,13.64
LITE.N0000,Q4,190530000.0,41040000.0,0.62
LLUB.N0000,Q4,4670000000.0,431050000.0,1.8
LMF.N0000,Q4,3310000000.0,40880000.0,0.1
LOFC.N0000,Q4,21830000000.0,4510000000.0,0.16
LOLC.N0000,Q4,83830000000.0,1780000000.0,3.74
LPL.N0000,Q4,226550000.0,280750000.0,0.73
LPL.X0000,Q4,226550000.0,280750000.0,0.73
LVEF.N0000,Q4,62020000.0,183310000.0,0.31
LVEN.N0000,Q4,63550000.0,102260000.0,2.03
LWL.N0000,Q4,11090000000.0,367580000.0,1.35
