Symbol,Asset Value
ACL.N0000,41.77B
ABAN.N0000,5.28B
AEL.N0000,106.24B
AGST.N0000,13.87B
AFSL.N0000,13.22B
ACME.N0000,1.87B
AGAL.N0000,8.16B
AHUN.N0000,94.94B
APLA.N0000,3.74B
ALLI.N0000,76.30B
SPEN.N0000,204.09B
ACAP.N0000,4.85B
ATL.N0000,19.08B
TAP.N0000,25.92B
AAF.N0000,34.48B
GREG.N0000,27.83B
ALUM.N0000,4.54B
ABL.N0000,182.34B
AMF.N0000,20.39B
AHPL.N0000,49.34B
ASIY.N0000,3.28B
AMSL.N0000,14.96B
BFL.N0000,9.92B
ASIR.N0000,55.97B
BPPL.N0000,7.70B
BRR.N0000,344.16M
BALA.N0000,8.06B
BERU.N0000,1.38B
CIC.X0000,86.40B
BUKI.N0000,280.33B
BBH.N0000,4.97B
BRWN.N0000,667.85B
COLO.N0000,5.64B
CIC.N0000,86.40B
BOGA.N0000,2.18B
BOPL.N0000,8.44B
CTLD.N0000,6.26B
BIL.N0000,592.90B
CALT.N0000,N/A
CFIN.N0000,127.55B
CABO.N0000,4.28B
CIND.N0000,4.84B
CARS.N0000,297.12B
CARG.N0000,140.70B
CWM.N0000,11.07B
CBNK.N0000,10.90B
GUAR.N0000,32.14B
CHL.X0000,15.35B
GRAN.N0000,23.11B
CINS.X0000,332.11B
CINS.N0000,332.11B
CCS.N0000,76.24B
BREW.N0000,58.38B
CHOT.N0000,13.72B
CINV.N0000,15.32B
CTC.N0000,45.82B
KZOO.N0000,5.33B
CDB.X0000,143.64B
CTBL.N0000,3.68B
CDB.N0000,143.64B
CWL.N0000,24.12M
LLUB.N0000,12.66B
CHMX.N0000,4.79B
REEF.N0000,11.18B
COOP.N0000,N/A
PHAR.N0000,3.49B
CFI.N0000,2.63B
CLND.N0000,14.18B
COMB.X0000,2.88T
COMD.N0000,4.94B
COMB.N0000,2.88T
DOCK.N0000,43.89B
COCR.N0000,106.44B
CHL.N0000,15.35B
DFCC.N0000,709.20B
DIPD.N0000,72.74B
CTEA.N0000,28.00B
SOY.N0000,4.28B
DPL.N0000,7.55B
CALF.N0000,7.39B
DIAL.N0000,309.15B
DIST.N0000,35.59B
STAF.N0000,4.70B
ECL.N0000,708.43M
EAST.N0000,2.85B
EMER.N0000,2.67B
EDEN.N0000,64.79B
EBCR.N0000,25.37B
ELPL.N0000,13.58B
PACK.N0000,1.57B
DIMO.N0000,55.93B
FCT.N0000,N/A
GHLL.N0000,11.02B
CFVF.N0000,94.15B
HNB.N0000,2.22T
GEST.N0000,984.73M
HAPU.N0000,8.74B
HAYC.N0000,44.56B
CONN.N0000,5.79B
HPL.N0000,13.88M
HEXP.N0000,3.84B
HNB.X0000,2.22T
WAPO.N0000,2.31B
HAYL.N0000,495.67B
HNBF.N0000,N/A
HELA.N0000,4.77
MGT.N0000,33.57B
CITH.N0000,10.90B
HASU.N0000,62.51B
HHL.N0000,97.45B
HNBF.X0000,N/A
HBS.N0000,6.36
HVA.N0000,1.02B
HUNA.N0000,7.24B
